duid,alpha,beta,type,station,fuel_type,schedule_type,region
TVCC201,-2.04677712078715,0.998540399194354,Gen,Tamar Valley,Gas,Scheduled,TAS
TVPP104,0.0384947068565924,0.999970824255866,Gen,Tamar Valley Peaking,Gas,Scheduled,TAS
AGLSOM,0.926168210671996,0.999435884533291,Gen,Somerton,Gas,Scheduled,VIC
APS,1.36891763826055e-11,0.999999999999875,Gen,Anglesea,Brown Coal,Scheduled,VIC
ARWF1,26.2691826696971,0.740395407678346,Gen,Ararat Wind Farm,Wind,Semi-scheduled,VIC
BALBG1,25.0400220161658,0.740571768580313,Gen,Ballarat Battery Energy Storage System,Battery (Discharge),Scheduled,VIC
BALBL1,2.72919234493804,0.998997731306502,Load,Ballarat Battery Energy Storage System,Battery (Charge),Scheduled,VIC
BALDHWF1,0.334397291480919,0.999800345712217,Gen,Bald Hills Wind Farm,Wind,Semi-scheduled,VIC
BANN1,-2.82738308443757,0.731489775327672,Gen,Bannerton Solar Park,Solar,Semi-scheduled,VIC
BDL01,-0.14265562645137,1.00008419503679,Gen,Bairnsdale,Gas,Scheduled,VIC
BDL02,-0.14265562645137,1.00008419503679,Gen,Bairnsdale,Gas,Scheduled,VIC
CROWLWF1,18.6494343484992,0.741072618435592,Gen,Crowlands Wind Farm,Wind,Semi-scheduled,VIC
DARTM1,63.3864965960113,0.287291397632514,Gen,Dartmouth,Hydro,Scheduled,VIC
EILDON1,28.2847716308974,0.692346254779011,Gen,Eildon,Hydro,Scheduled,VIC
EILDON2,28.2847716308974,0.692346254779011,Gen,Eildon,Hydro,Scheduled,VIC
GANNBG1,54.1610193579403,0.461741573744702,Gen,Gannawarra Energy Storage System,Battery (Discharge),Scheduled,VIC
GANNBL1,3.4554905597718,0.989801909431128,Load,Gannawarra Energy Storage System,Battery (Charge),Scheduled,VIC
GANNSF1,40.9762408821316,0.463692401544248,Gen,Gannawarra Solar Farm,Solar,Semi-scheduled,VIC
HUMEV,37.6083406135397,0.760966797730085,Gen,Hume,Hydro,Scheduled,VIC
HWPS1,1.36891763826055e-11,0.999999999999875,Gen,Hazelwood,Brown Coal,Scheduled,VIC
HWPS2,1.36891763826055e-11,0.999999999999875,Gen,Hazelwood,Brown Coal,Scheduled,VIC
HWPS3,1.36891763826055e-11,0.999999999999875,Gen,Hazelwood,Brown Coal,Scheduled,VIC
HWPS4,1.36891763826055e-11,0.999999999999875,Gen,Hazelwood,Brown Coal,Scheduled,VIC
HWPS5,1.36891763826055e-11,0.999999999999875,Gen,Hazelwood,Brown Coal,Scheduled,VIC
HWPS6,1.36891763826055e-11,0.999999999999875,Gen,Hazelwood,Brown Coal,Scheduled,VIC
HWPS7,1.36891763826055e-11,0.999999999999875,Gen,Hazelwood,Brown Coal,Scheduled,VIC
HWPS8,1.36891763826055e-11,0.999999999999875,Gen,Hazelwood,Brown Coal,Scheduled,VIC
JLA01,-0.14265562645137,1.00008419503679,Gen,Jeeralang A,Gas,Scheduled,VIC
JLA02,-0.14265562645137,1.00008419503679,Gen,Jeeralang A,Gas,Scheduled,VIC
JLA03,-0.14265562645137,1.00008419503679,Gen,Jeeralang A,Gas,Scheduled,VIC
JLA04,-0.14265562645137,1.00008419503679,Gen,Jeeralang A,Gas,Scheduled,VIC
JLB01,-0.14265562645137,1.00008419503679,Gen,Jeeralang B,Gas,Scheduled,VIC
JLB02,-0.14265562645137,1.00008419503679,Gen,Jeeralang B,Gas,Scheduled,VIC
JLB03,-0.14265562645137,1.00008419503679,Gen,Jeeralang B,Gas,Scheduled,VIC
KARSF1,22.7233272924706,0.699887232353486,Gen,Karadoc Solar Farm,Solar,Semi-scheduled,VIC
KIATAWF1,19.8075944671633,0.736291563542823,Gen,Kiata Wind Farm,Wind,Semi-scheduled,VIC
LAVNORTH,1.36891763826055e-11,0.999999999999875,Gen,Laverton,Gas,Scheduled,VIC
LNGS1,0.779845775746346,0.999523129015553,Gen,Laverton,Gas,Scheduled,VIC
LNGS2,0.779845775746346,0.999523129015553,Gen,Laverton,Gas,Scheduled,VIC
